,rescode,hhsize,age16m,age16f,under16
0,11103,5.0,0.0,2.0,3.0
1,11102,3.0,0.0,2.0,1.0
2,11101,6.0,2.0,3.0,1.0
3,11703,7.0,1.0,1.0,5.0
4,11202,4.0,1.0,1.0,2.0
5,11404,4.0,1.0,1.0,2.0
6,11403,3.0,1.0,1.0,1.0
7,11402,6.0,2.0,3.0,1.0
8,11304,5.0,0.0,1.0,4.0
9,11416,5.0,2.0,2.0,1.0
10,11417,3.0,2.0,1.0,0.0
11,11702,4.0,1.0,1.0,2.0
12,11502,5.0,1.0,1.0,3.0
13,11301,3.0,2.0,1.0,0.0
14,11603,6.0,1.0,2.0,3.0
15,11302,4.0,1.0,3.0,0.0
16,11701,8.0,2.0,2.0,4.0
17,11602,3.0,2.0,1.0,0.0
18,11604,8.0,1.0,3.0,4.0
19,11505,5.0,1.0,1.0,3.0
20,11410,6.0,1.0,1.0,4.0
21,11203,3.0,1.0,1.0,1.0
22,11405,4.0,3.0,1.0,0.0
23,11409,6.0,2.0,1.0,3.0
24,11201,3.0,1.0,1.0,1.0
25,11411,6.0,2.0,2.0,2.0
26,11506,4.0,2.0,1.0,1.0
27,11501,3.0,2.0,1.0,0.0
28,11418,3.0,1.0,2.0,0.0
29,11419,5.0,1.0,1.0,3.0
30,11504,6.0,2.0,4.0,0.0
31,12206,6.0,2.0,1.0,3.0
32,12207,4.0,3.0,1.0,1.0
33,12203,6.0,3.0,2.0,1.0
34,12101,8.0,2.0,4.0,2.0
35,12102,5.0,1.0,1.0,3.0
36,12103,5.0,1.0,1.0,3.0
37,12105,4.0,2.0,1.0,1.0
38,12201,5.0,2.0,3.0,0.0
39,12202,5.0,1.0,1.0,3.0
40,12106,5.0,2.0,1.0,2.0
41,12506,7.0,1.0,1.0,5.0
42,12505,8.0,2.0,3.0,3.0
43,12502,4.0,1.0,2.0,1.0
44,12504,5.0,1.0,2.0,2.0
45,12501,4.0,1.0,2.0,1.0
46,12407,7.0,1.0,1.0,5.0
47,12404,7.0,3.0,2.0,2.0
48,12408,5.0,1.0,1.0,3.0
49,12406,8.0,3.0,3.0,2.0
50,12405,6.0,1.0,2.0,3.0
51,12409,7.0,2.0,3.0,2.0
52,12401,5.0,3.0,0.0,2.0
53,12307,6.0,1.0,2.0,3.0
54,12306,7.0,2.0,2.0,3.0
55,12302,4.0,2.0,1.0,1.0
56,12304,7.0,2.0,2.0,3.0
57,12303,6.0,3.0,2.0,1.0
58,12301,5.0,1.0,1.0,3.0
59,12305,3.0,0.0,2.0,1.0
60,12402,4.0,1.0,1.0,2.0
61,13203,9.0,1.0,2.0,6.0
62,13105,4.0,0.0,1.0,3.0
63,13106,6.0,0.0,2.0,4.0
64,13202,8.0,2.0,2.0,5.0
65,13201,7.0,4.0,1.0,2.0
66,13104,9.0,2.0,3.0,4.0
67,13103,8.0,1.0,2.0,5.0
68,13101,9.0,2.0,2.0,5.0
69,13102,8.0,4.0,2.0,2.0
70,13204,8.0,3.0,2.0,3.0
71,13402,2.0,0.0,2.0,0.0
72,13401,7.0,2.0,3.0,2.0
73,13403,6.0,2.0,1.0,3.0
74,13404,5.0,2.0,2.0,1.0
75,13503,9.0,2.0,3.0,4.0
76,13505,5.0,1.0,3.0,1.0
77,13501,5.0,2.0,2.0,1.0
78,13502,5.0,0.0,1.0,4.0
79,13504,5.0,3.0,1.0,1.0
80,13307,5.0,2.0,1.0,2.0
81,13305,4.0,0.0,3.0,1.0
82,13304,7.0,1.0,2.0,4.0
83,13303,4.0,1.0,2.0,1.0
84,13302,6.0,1.0,2.0,3.0
85,13301,5.0,1.0,1.0,3.0
86,13205,5.0,1.0,2.0,2.0
87,13208,11.0,2.0,6.0,3.0
88,13206,4.0,0.0,1.0,3.0
89,13207,2.0,1.0,1.0,0.0
90,14210,10.0,2.0,2.0,7.0
91,14510,5.0,0.0,3.0,2.0
92,14441,4.0,1.0,1.0,2.0
93,14501,7.0,3.0,2.0,2.0
94,14102,8.0,4.0,2.0,2.0
95,14202,7.0,2.0,2.0,3.0
96,14506,5.0,1.0,1.0,3.0
97,14106,8.0,2.0,1.0,5.0
98,14302,6.0,3.0,3.0,0.0
99,14304,6.0,3.0,3.0,0.0
100,14504,7.0,2.0,2.0,3.0
101,14410,4.0,0.0,2.0,2.0
102,14409,8.0,3.0,3.0,2.0
103,14408,4.0,1.0,2.0,1.0
104,14301,7.0,3.0,3.0,0.0
105,14508,6.0,2.0,3.0,1.0
106,14502,5.0,1.0,2.0,1.0
107,14105,8.0,2.0,1.0,5.0
108,14303,6.0,3.0,3.0,0.0
109,14209,3.0,1.0,1.0,1.0
110,14207,7.0,1.0,3.0,3.0
111,14208,7.0,1.0,1.0,5.0
112,14401,3.0,0.0,2.0,1.0
113,14503,5.0,1.0,3.0,1.0
114,14101,8.0,4.0,2.0,2.0
115,14104,8.0,3.0,2.0,3.0
116,14201,8.0,3.0,2.0,3.0
117,14108,5.0,1.0,1.0,3.0
118,14402,8.0,2.0,4.0,2.0
119,14405,4.0,1.0,1.0,2.0
120,15508,7.0,2.0,4.0,1.0
121,15206,7.0,2.0,3.0,2.0
122,15105,6.0,1.0,1.0,4.0
123,15201,4.0,2.0,2.0,0.0
124,15104,6.0,0.0,3.0,3.0
125,15103,9.0,2.0,1.0,6.0
126,15101,6.0,3.0,3.0,0.0
127,15102,4.0,0.0,2.0,2.0
128,15406,3.0,2.0,1.0,0.0
129,15506,5.0,1.0,3.0,1.0
130,15505,4.0,2.0,2.0,0.0
131,15403,4.0,2.0,1.0,1.0
132,15404,6.0,4.0,2.0,0.0
133,15405,4.0,2.0,1.0,1.0
134,15301,6.0,1.0,2.0,3.0
135,15304,2.0,0.0,2.0,0.0
136,15302,5.0,3.0,2.0,0.0
137,15401,4.0,1.0,1.0,2.0
138,15303,7.0,1.0,5.0,1.0
139,15207,4.0,0.0,3.0,1.0
140,15507,6.0,1.0,2.0,3.0
141,15208,8.0,3.0,3.0,2.0
142,16104,6.0,1.0,1.0,4.0
143,16205,5.0,4.0,1.0,0.0
144,16102,8.0,3.0,4.0,1.0
145,16301,5.0,2.0,2.0,1.0
146,16202,4.0,1.0,1.0,2.0
147,16201,10.0,3.0,4.0,3.0
148,16103,4.0,2.0,2.0,0.0
149,16203,10.0,6.0,1.0,3.0
150,16502,7.0,4.0,2.0,1.0
151,16506,6.0,1.0,1.0,4.0
152,16505,5.0,2.0,2.0,1.0
153,16501,5.0,3.0,1.0,1.0
154,16504,5.0,1.0,4.0,0.0
155,16602,5.0,2.0,3.0,0.0
156,16406,3.0,1.0,1.0,1.0
157,16603,5.0,1.0,1.0,3.0
158,16401,4.0,1.0,1.0,2.0
159,16304,6.0,2.0,2.0,2.0
160,16303,6.0,2.0,4.0,0.0
161,16407,5.0,1.0,1.0,3.0
162,16305,3.0,1.0,1.0,1.0
163,16408,5.0,2.0,3.0,0.0
164,16409,6.0,1.0,1.0,4.0
165,17109,4.0,2.0,2.0,0.0
166,17110,5.0,1.0,1.0,3.0
167,17104,5.0,1.0,1.0,3.0
168,17101,6.0,1.0,3.0,2.0
169,17107,4.0,1.0,3.0,0.0
170,17102,4.0,1.0,1.0,2.0
171,17103,6.0,1.0,2.0,3.0
172,17108,4.0,1.0,1.0,2.0
173,17306,10.0,1.0,2.0,7.0
174,17105,6.0,1.0,2.0,3.0
175,17106,6.0,1.0,1.0,4.0
176,17209,5.0,3.0,2.0,0.0
177,17302,8.0,1.0,2.0,5.0
178,17305,8.0,1.0,1.0,6.0
179,17301,4.0,2.0,1.0,1.0
180,17212,3.0,0.0,1.0,2.0
181,17304,6.0,1.0,1.0,4.0
182,17303,5.0,1.0,1.0,3.0
183,17210,5.0,1.0,1.0,3.0
184,17205,8.0,1.0,2.0,5.0
185,17203,6.0,2.0,2.0,2.0
186,17204,7.0,2.0,1.0,4.0
187,17206,9.0,1.0,5.0,3.0
188,17202,4.0,2.0,1.0,1.0
189,17111,6.0,2.0,1.0,3.0
190,17112,7.0,1.0,1.0,5.0
191,17208,8.0,1.0,3.0,4.0
192,17207,3.0,1.0,1.0,1.0
193,17201,6.0,1.0,1.0,4.0
194,21118,3.0,1.0,1.0,1.0
195,21101,4.0,3.0,1.0,0.0
196,21117,5.0,2.0,2.0,1.0
197,21112,6.0,1.0,4.0,1.0
198,21114,5.0,3.0,2.0,0.0
199,21116,4.0,0.0,3.0,1.0
200,21113,5.0,1.0,1.0,3.0
201,21115,3.0,2.0,1.0,0.0
202,21314,4.0,2.0,2.0,0.0
203,21206,6.0,1.0,1.0,4.0
204,21111,3.0,1.0,1.0,1.0
205,21201,3.0,1.0,1.0,1.0
206,21205,3.0,1.0,1.0,1.0
207,21202,4.0,2.0,2.0,0.0
208,21208,2.0,1.0,1.0,0.0
209,21210,4.0,1.0,1.0,2.0
210,21209,5.0,2.0,3.0,0.0
211,21211,5.0,1.0,1.0,3.0
