,case_id,rescode,hhid,ind,aimag,soum,treatment,empl,typeofempl,hourswork,grossearn,periodearn,benefit,benefitval,periodben
0,101.0,11103,1,1,1,11,0.0,0.0,,,,,1,54000.0,2.0
1,102.0,11103,1,2,1,11,0.0,0.0,,,,,1,136000.0,3.0
2,103.0,11103,1,3,1,11,0.0,0.0,,,,,1,136000.0,3.0
3,104.0,11103,1,4,1,11,0.0,0.0,,,,,1,136000.0,3.0
4,105.0,11103,1,5,1,11,0.0,0.0,,,,,1,136000.0,3.0
5,201.0,11102,2,1,1,11,0.0,0.0,,,,,1,34500.0,2.0
6,202.0,11102,2,2,1,11,0.0,0.0,,,,,0,,
7,203.0,11102,2,3,1,11,0.0,0.0,,,,,1,136000.0,3.0
8,301.0,11101,3,1,1,11,0.0,1.0,7.0,56.0,360000.0,5.0,0,,
9,302.0,11101,3,2,1,11,0.0,1.0,1.0,70.0,660000.0,5.0,0,,
10,303.0,11101,3,3,1,11,0.0,1.0,7.0,40.0,80000.0,4.0,0,,
11,304.0,11101,3,4,1,11,0.0,0.0,,,,,0,,
12,305.0,11101,3,5,1,11,0.0,0.0,,,,,0,,
13,306.0,11101,3,6,1,11,0.0,0.0,,,,,1,136000.0,3.0
14,401.0,11703,4,1,1,11,0.0,0.0,,,,,0,,
15,402.0,11703,4,2,1,11,0.0,0.0,,,,,0,,
16,403.0,11703,4,3,1,11,0.0,0.0,,,,,1,136000.0,3.0
17,404.0,11703,4,4,1,11,0.0,0.0,,,,,1,136000.0,3.0
18,405.0,11703,4,5,1,11,0.0,0.0,,,,,1,136000.0,3.0
19,406.0,11703,4,6,1,11,0.0,,,,,,1,136000.0,3.0
20,407.0,11703,4,7,1,11,0.0,,,,,,1,136000.0,3.0
21,501.0,11202,5,1,1,11,0.0,0.0,,,,,0,,
22,502.0,11202,5,2,1,11,0.0,0.0,,,,,1,20000.0,2.0
23,503.0,11202,5,3,1,11,0.0,,,,,,1,136000.0,3.0
24,504.0,11202,5,4,1,11,0.0,,,,,,1,136000.0,3.0
25,601.0,11404,6,1,1,11,0.0,0.0,,,,,0,,
26,602.0,11404,6,2,1,11,0.0,0.0,,,,,0,,
27,603.0,11404,6,3,1,11,0.0,,,,,,1,136000.0,3.0
28,604.0,11404,6,4,1,11,0.0,,,,,,1,136000.0,3.0
29,701.0,11403,7,1,1,11,0.0,0.0,,,,,0,,
30,702.0,11403,7,2,1,11,0.0,0.0,,,,,0,,
31,703.0,11403,7,3,1,11,0.0,0.0,,,,,1,136000.0,3.0
32,801.0,11402,8,1,1,11,0.0,0.0,,,,,0,,
33,802.0,11402,8,2,1,11,0.0,1.0,9.0,40.0,180000.0,4.0,0,,
34,803.0,11402,8,3,1,11,0.0,0.0,,,,,1,136000.0,3.0
35,804.0,11402,8,4,1,11,0.0,0.0,,,,,1,136000.0,3.0
36,901.0,11304,9,1,1,11,0.0,0.0,,,,,0,,
37,902.0,11304,9,2,1,11,0.0,,,,,,1,54000.0,2.0
38,903.0,11304,9,3,1,11,0.0,0.0,,,,,1,136000.0,3.0
39,904.0,11304,9,4,1,11,0.0,0.0,,,,,1,136000.0,3.0
40,905.0,11304,9,5,1,11,0.0,0.0,,,,,1,136000.0,3.0
41,1001.0,11416,10,1,1,11,0.0,0.0,,,,,0,,
42,1002.0,11416,10,2,1,11,0.0,1.0,5.0,40.0,300000.0,4.0,0,,
43,1003.0,11416,10,3,1,11,0.0,0.0,,,,,1,136000.0,3.0
44,1004.0,11416,10,4,1,11,0.0,0.0,,,,,0,,
45,1005.0,11416,10,5,1,11,0.0,0.0,,,,,1,136000.0,3.0
46,1101.0,11417,11,1,1,11,0.0,0.0,,,,,1,81000.0,2.0
47,1102.0,11417,11,2,1,11,0.0,0.0,,,,,1,81000.0,2.0
48,1103.0,11417,11,3,1,11,0.0,0.0,,,,,0,,
49,1201.0,11702,12,1,1,11,0.0,0.0,,,,,0,,
50,1202.0,11702,12,2,1,11,0.0,0.0,,,,,0,,
51,1203.0,11702,12,3,1,11,0.0,0.0,,,,,1,136000.0,3.0
52,1204.0,11702,12,4,1,11,0.0,0.0,,,,,1,136000.0,3.0
53,1301.0,11502,13,1,1,11,0.0,0.0,,,,,0,,
