index,rescode,hhid,aimag,soum,treatment,maleresp,enterprise,jointent,nrjointent,years_j1,months_j1,fullyown_j1,percown_j1,othermown_j1,permemown_j1,otheroutown_j1,peroutown_j1,empl_j1,hoursnmemb_j1,hoursnmemn_j1,busyslen_j1,exponwag_j1,exponraw_j1,exponres_j1,exponmach_j1,exponequip_j1,exponmain_j1,expontrans_j1,exponfuel_j1,expontax_j1,exponint_j1,exponother_j1,revcash_j1,revkind_j1,revsale_j1,revrent_j1,revother_j1,useloan_j1,perloan_j1,whatuseloan_j1,activity_j1,years_j2,months_j2,fullyown_j2,percown_j2,othermown_j2,permemown_j2,otheroutown_j2,peroutown_j2,empl_j2,hoursnmemb_j2,hoursnmemn_j2,busyslen_j2,exponwag_j2,exponraw_j2,exponres_j2,exponmach_j2,exponequip_j2,exponmain_j2,expontrans_j2,exponfuel_j2,expontax_j2,exponint_j2,exponother_j2,revcash_j2,revkind_j2,revsale_j2,revrent_j2,revother_j2,useloan_j2,perloan_j2,whatuseloan_j2,activity_j2,soleent,years_r,months_r,fullyown_r,percown_r,othermown_r,permemown_r,otheroutown_r,peroutown_r,empl_r,hoursnmemb_r,hoursnmemn_r,busyslen_r,exponwag_r,exponraw_r,exponres_r,exponmach_r,exponequip_r,exponmain_r,expontrans_r,exponfuel_r,expontax_r,exponint_r,exponother_r,revcash_r,revkind_r,revsale_r,revrent_r,revother_r,useloan_r,perloan_r,whatuseloan_r,activity_r,partnent,years_p,months_p,fullyown_p,percown_p,othermown_p,permemown_p,otheroutown_p,peroutown_p,empl_p,hoursnmemb_p,hoursnmemn_p,busyslen_p,exponwag_p,exponraw_p,exponres_p,exponmach_p,exponequip_p,exponmain_p,expontrans_p,exponfuel_p,expontax_p,exponint_p,exponother_p,revcash_p,revkind_p,revsale_p,revrent_p,revother_p,useloan_p,perloan_p,whatuseloan_p,activity_p
0,11101,3,1,11,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,3,0,50,0,,1,50,2,56,35,1,0,0,0,5000,0,0,0,0,0,0,0,150000,0,0,0,0,1,70,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11102,2,1,11,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,1,,,,,,1,,,5,0,0,0,40000,0,0,0,0,0,110000,0,107000,0,0,0,0,1,100,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11103,1,1,11,0,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,8,1,,,,,,5,0,0,3,40000,,0,80000,50000,0,60000,30000,0,1090000,0,800000,0,0,0,0,1,10,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11201,25,1,11,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11202,5,1,11,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,6,1,,,,,,1,,,1,0,50000,0,150000,0,0,0,0,0,0,0,150000,120000,0,0,0,1,50,3,11,1,,,1,,,,,,1,,,1,0,100000,0,0,0,0,0,0,0,0,0,150000,100000,0,0,0,1,50,3,5
5,11203,22,1,11,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,1,,,,,,1,,,3,0,35000,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,1,50,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11301,14,1,11,0,0,1,1,2,15,0,1,,,,,,3,0,0,2,0,0,0,0,0,20000,0,0,0,0,0,250000,100000,200000,0,0,0,,,1,12,0,1,,,,,,3,0,0,1,0,45000,0,0,0,0,18000,52000,2000,0,0,300000,180000,300000,0,0,1,80,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11302,16,1,11,0,0,1,1,2,16,0,1,,,,,,4,0,0,5,0,600000,0,250000,0,150000,250000,110000,9000,0,0,3500000,1000000,3400000,0,0,1,90,4,2,40,0,1,,,,,,3,126,112,3,0,300000,0,0,0,250000,0,0,0,0,0,800000,0,450000,0,0,1,10,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11304,9,1,11,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,1,,,,,,1,,,5,0,109000,0,5000,0,0,0,0,0,0,0,150000,0,0,0,0,1,50,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11402,8,1,11,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,,1,,,,,,1,,,9,0,450000,0,50000,0,0,0,0,0,423500,0,667000,180000,0,0,0,1,30,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11403,7,1,11,0,0,1,1,1,11,11,1,,,,,,3,0,0,1,0,51000,0,0,0,0,19000,0,3500,0,0,150000,180000,0,0,0,1,100,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
