,hhid,rescode,aimag,soum,treatment,age,buddhist,hahl,age_sq,marr_cohab
0,3,11101,1,11,0.0,42.0,1.0,0.0,1764.0,1.0
1,2,11102,1,11,0.0,43.0,0.0,0.0,1849.0,0.0
2,1,11103,1,11,0.0,45.0,1.0,0.0,2025.0,0.0
3,25,11201,1,11,0.0,38.0,1.0,0.0,1444.0,1.0
4,5,11202,1,11,0.0,27.0,1.0,0.0,729.0,1.0
5,22,11203,1,11,0.0,26.0,1.0,0.0,676.0,1.0
6,14,11301,1,11,0.0,46.0,1.0,0.0,2116.0,1.0
7,16,11302,1,11,0.0,52.0,1.0,0.0,2704.0,1.0
8,9,11304,1,11,0.0,35.0,0.0,1.0,1225.0,1.0
9,8,11402,1,11,0.0,44.0,1.0,0.0,1936.0,1.0
10,7,11403,1,11,0.0,50.0,1.0,0.0,2500.0,1.0
11,6,11404,1,11,0.0,26.0,1.0,0.0,676.0,1.0
12,23,11405,1,11,0.0,38.0,0.0,0.0,1444.0,1.0
13,24,11409,1,11,0.0,44.0,1.0,0.0,1936.0,1.0
14,21,11410,1,11,0.0,26.0,1.0,0.0,676.0,1.0
15,26,11411,1,11,0.0,47.0,1.0,0.0,2209.0,1.0
16,10,11416,1,11,0.0,43.0,1.0,0.0,1849.0,1.0
17,11,11417,1,11,0.0,61.0,1.0,0.0,3721.0,1.0
18,29,11418,1,11,0.0,45.0,0.0,0.0,2025.0,0.0
19,30,11419,1,11,0.0,33.0,1.0,0.0,1089.0,1.0
20,28,11501,1,11,0.0,43.0,1.0,0.0,1849.0,1.0
21,13,11502,1,11,0.0,35.0,1.0,0.0,1225.0,0.0
22,31,11504,1,11,0.0,49.0,1.0,0.0,2401.0,1.0
23,20,11505,1,11,0.0,35.0,1.0,0.0,1225.0,1.0
24,27,11506,1,11,0.0,47.0,1.0,0.0,2209.0,1.0
25,18,11602,1,11,0.0,48.0,1.0,0.0,2304.0,1.0
26,15,11603,1,11,0.0,42.0,1.0,0.0,1764.0,1.0
27,19,11604,1,11,0.0,44.0,1.0,0.0,1936.0,1.0
28,17,11701,1,11,0.0,39.0,1.0,0.0,1521.0,1.0
