,case_id,rescode,hhid,ind,aimag,soum,treatment,emplown,emplprimjo,hoursprimjo,emplsecjo,hourssecjo,hoursown,emplpartn,hourspartn
0,101.0,11103,1,1,1,11,0.0,1.0,,,,,56.0,,
1,102.0,11103,1,2,1,11,0.0,1.0,,,,,28.0,,
2,103.0,11103,1,3,1,11,0.0,1.0,,,,,28.0,,
3,104.0,11103,1,4,1,11,0.0,1.0,,,,,14.0,,
4,105.0,11103,1,5,1,11,0.0,1.0,,,,,14.0,,
5,201.0,11102,2,1,1,11,0.0,1.0,,,,,35.0,,
6,202.0,11102,2,2,1,11,0.0,0.0,,,,,,,
7,203.0,11102,2,3,1,11,0.0,0.0,,,,,,,
8,301.0,11101,3,1,1,11,0.0,1.0,,,,,49.0,,
9,302.0,11101,3,2,1,11,0.0,0.0,,,,,,,
10,303.0,11101,3,3,1,11,0.0,0.0,,,,,,,
11,304.0,11101,3,4,1,11,0.0,0.0,,,,,,,
12,305.0,11101,3,5,1,11,0.0,0.0,,,,,,,
13,306.0,11101,3,6,1,11,0.0,0.0,,,,,,,
14,401.0,11703,4,1,1,11,0.0,1.0,,,,,56.0,0.0,
15,402.0,11703,4,2,1,11,0.0,1.0,,,,,47.0,1.0,56.0
16,403.0,11703,4,3,1,11,0.0,0.0,,,,,,0.0,
17,404.0,11703,4,4,1,11,0.0,0.0,,,,,,0.0,
18,405.0,11703,4,5,1,11,0.0,0.0,,,,,,0.0,
19,501.0,11202,5,1,1,11,0.0,1.0,,,,,40.0,0.0,
20,502.0,11202,5,2,1,11,0.0,0.0,,,,,,1.0,21.0
21,601.0,11404,6,1,1,11,0.0,,1.0,28.0,,,,,
22,602.0,11404,6,2,1,11,0.0,,1.0,14.0,,,,,
23,603.0,11404,6,3,1,11,0.0,,0.0,,,,,,
24,701.0,11403,7,1,1,11,0.0,,1.0,35.0,,,,,
25,702.0,11403,7,2,1,11,0.0,,1.0,35.0,,,,,
26,703.0,11403,7,3,1,11,0.0,,1.0,35.0,,,,,
27,801.0,11402,8,1,1,11,0.0,1.0,,,,,56.0,,
28,802.0,11402,8,2,1,11,0.0,0.0,,,,,,,
29,803.0,11402,8,3,1,11,0.0,0.0,,,,,,,
30,804.0,11402,8,4,1,11,0.0,0.0,,,,,,,
31,805.0,11402,8,5,1,11,0.0,0.0,,,,,,,
32,806.0,11402,8,6,1,11,0.0,0.0,,,,,,,
33,901.0,11304,9,1,1,11,0.0,1.0,,,,,70.0,,
34,902.0,11304,9,2,1,11,0.0,0.0,,,,,,,
35,903.0,11304,9,3,1,11,0.0,0.0,,,,,,,
36,904.0,11304,9,4,1,11,0.0,0.0,,,,,,,
37,905.0,11304,9,5,1,11,0.0,,,,,,,,
38,1001.0,11416,10,1,1,11,0.0,1.0,,,,,54.0,,
39,1002.0,11416,10,2,1,11,0.0,0.0,,,,,,,
40,1003.0,11416,10,3,1,11,0.0,0.0,,,,,,,
41,1004.0,11416,10,4,1,11,0.0,0.0,,,,,,,
42,1005.0,11416,10,5,1,11,0.0,0.0,,,,,,,
43,1101.0,11417,11,1,1,11,0.0,1.0,,,,,35.0,,
44,1102.0,11417,11,2,1,11,0.0,1.0,,,,,14.0,,
45,1103.0,11417,11,3,1,11,0.0,1.0,,,,,35.0,,
46,1201.0,11702,12,1,1,11,0.0,1.0,,,,,63.0,,
47,1202.0,11702,12,2,1,11,0.0,0.0,,,,,,,
48,1203.0,11702,12,3,1,11,0.0,0.0,,,,,,,
49,1204.0,11702,12,4,1,11,0.0,0.0,,,,,,,
50,1301.0,11502,13,1,1,11,0.0,,1.0,35.0,,,,,
51,1302.0,11502,13,2,1,11,0.0,,1.0,56.0,,,,,
52,1303.0,11502,13,3,1,11,0.0,,0.0,,,,,,
53,1304.0,11502,13,4,1,11,0.0,,0.0,,,,,,
54,1401.0,11301,14,1,1,11,0.0,,1.0,14.0,1.0,35.0,,,
55,1402.0,11301,14,2,1,11,0.0,,1.0,14.0,1.0,35.0,,,
56,1403.0,11301,14,3,1,11,0.0,,1.0,14.0,1.0,35.0,,,
57,1501.0,11603,15,1,1,11,0.0,,1.0,42.0,,,,,
58,1502.0,11603,15,2,1,11,0.0,,1.0,28.0,,,,,
59,1503.0,11603,15,3,1,11,0.0,,0.0,,,,,,
60,1504.0,11603,15,4,1,11,0.0,,0.0,,,,,,
61,1505.0,11603,15,5,1,11,0.0,,0.0,,,,,,
62,1506.0,11603,15,6,1,11,0.0,,0.0,,,,,,
63,1601.0,11302,16,1,1,11,0.0,,1.0,56.0,1.0,28.0,,,
64,1602.0,11302,16,2,1,11,0.0,,1.0,28.0,0.0,,,,
65,1603.0,11302,16,3,1,11,0.0,,1.0,56.0,0.0,,,,
66,1604.0,11302,16,4,1,11,0.0,,1.0,56.0,0.0,,,,
67,1605.0,11302,16,5,1,11,0.0,,,,0.0,,,,
68,1701.0,11701,17,1,1,11,0.0,1.0,,,,,84.0,,
69,1702.0,11701,17,2,1,11,0.0,0.0,,,,,,,
70,1703.0,11701,17,3,1,11,0.0,0.0,,,,,,,
71,1704.0,11701,17,4,1,11,0.0,0.0,,,,,,,
72,1705.0,11701,17,5,1,11,0.0,0.0,,,,,,,
73,1706.0,11701,17,6,1,11,0.0,0.0,,,,,,,
74,1707.0,11701,17,7,1,11,0.0,0.0,,,,,,,
75,1801.0,11602,18,1,1,11,0.0,,0.0,,,,,0.0,
76,1802.0,11602,18,2,1,11,0.0,,0.0,,,,,1.0,56.0
77,1803.0,11602,18,3,1,11,0.0,,0.0,,,,,0.0,
78,1901.0,11604,19,1,1,11,0.0,1.0,1.0,21.0,,,56.0,0.0,
79,1902.0,11604,19,2,1,11,0.0,1.0,1.0,28.0,,,70.0,1.0,28.0
80,1903.0,11604,19,3,1,11,0.0,0.0,0.0,,,,,0.0,
81,1904.0,11604,19,4,1,11,0.0,0.0,0.0,,,,,0.0,
82,1905.0,11604,19,5,1,11,0.0,0.0,0.0,,,,,0.0,
83,1906.0,11604,19,6,1,11,0.0,0.0,0.0,,,,,0.0,
84,1907.0,11604,19,7,1,11,0.0,0.0,0.0,,,,,0.0,
85,2001.0,11505,20,1,1,11,0.0,1.0,,,,,28.0,,
86,2002.0,11505,20,2,1,11,0.0,0.0,,,,,,,
87,2003.0,11505,20,3,1,11,0.0,0.0,,,,,,,
88,2004.0,11505,20,4,1,11,0.0,0.0,,,,,,,
89,2201.0,11203,22,1,1,11,0.0,1.0,,,,,28.0,,
90,2202.0,11203,22,2,1,11,0.0,0.0,,,,,,,
91,2401.0,11409,24,1,1,11,0.0,1.0,1.0,56.0,,,50.0,,
92,2402.0,11409,24,2,1,11,0.0,0.0,1.0,70.0,,,,,
93,2403.0,11409,24,3,1,11,0.0,0.0,0.0,,,,,,
94,2404.0,11409,24,4,1,11,0.0,0.0,0.0,,,,,,
95,2405.0,11409,24,5,1,11,0.0,0.0,0.0,,,,,,
96,2406.0,11409,24,6,1,11,0.0,0.0,0.0,,,,,,
